trait_id	name	study	doi	unit	catalog_num_values	raw_row_n	finite_row_n	unique_accession_n	finite_unique_accession_n	panel_intersection_n	finite_panel_intersection_n	duplicate_accession_n	max_rows_per_accession	group_counts	values_sha256	retrieval_status
133	YieldPlantingSummer2009	Flowering time in simulated seasons	10.21958/phenotype:133	gram	396	396	396	396	396	164	164	0	1	"{""admixed"": 31, ""asia"": 7, ""central_europe"": 34, ""germany"": 39, ""north_sweden"": 2, ""relict"": 1, ""south_sweden"": 17, ""spain"": 9, ""western_europe"": 24}"	128066e3e8c0c860a07f5077d8f7f93211a2b8abdd02ee0666c5a3cdfd2f1ccd	ok
134	DTF sweden 2009 (1st experiment)	Flowering time in simulated seasons	10.21958/phenotype:134	day	479	479	479	479	479	213	213	0	1	"{""admixed"": 35, ""asia"": 7, ""central_europe"": 34, ""germany"": 42, ""north_sweden"": 12, ""relict"": 1, ""south_sweden"": 47, ""spain"": 9, ""western_europe"": 26}"	ed1609f30bfb93cb0b57362056183c27edc3dc314d2af4ff19a903b275fdddfe	ok
135	YieldLocSweden2009	Flowering time in simulated seasons	10.21958/phenotype:135	dimensionless unit	434	434	434	434	434	178	178	0	1	"{""admixed"": 34, ""asia"": 7, ""central_europe"": 34, ""germany"": 40, ""north_sweden"": 4, ""relict"": 1, ""south_sweden"": 24, ""spain"": 9, ""western_europe"": 25}"	c6f3bebd9107d14316946535f0cb8f8be02f1b1d5fbedbea94a7dc4774c0c8dc	ok
136	DTF spain 2008 (2nd experiment)	Flowering time in simulated seasons	10.21958/phenotype:136	day	359	359	359	359	359	154	154	0	1	"{""admixed"": 26, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 37, ""spain"": 4, ""western_europe"": 20}"	cd453d94d2d0762626269eb404a932360e71469025ecad8b3bb1879ec57c62a7	ok
137	YieldMainEffect2009	Flowering time in simulated seasons	10.21958/phenotype:137	dimensionless unit	466	466	466	466	466	201	201	0	1	"{""admixed"": 35, ""asia"": 7, ""central_europe"": 34, ""germany"": 42, ""north_sweden"": 9, ""relict"": 1, ""south_sweden"": 38, ""spain"": 9, ""western_europe"": 26}"	736d501cc9ab1276669d639e0d884ef373eebb0d088e6ce6a8afc2b864775fae	ok
138	YieldPlantingSummerLocSweden2009	Flowering time in simulated seasons	10.21958/phenotype:138	dimensionless unit	367	367	367	367	367	151	151	0	1	"{""admixed"": 28, ""asia"": 7, ""central_europe"": 34, ""germany"": 37, ""relict"": 1, ""south_sweden"": 11, ""spain"": 9, ""western_europe"": 24}"	6b0a5c8c075828f180def36d6ad36c67d71b063c824288a57485b4b1350fc884	ok
139	Yield sweden 2009 (1st experiment)	Flowering time in simulated seasons	10.21958/phenotype:139	gram	401	401	401	401	401	162	162	0	1	"{""admixed"": 29, ""asia"": 7, ""central_europe"": 33, ""germany"": 40, ""north_sweden"": 3, ""relict"": 1, ""south_sweden"": 17, ""spain"": 9, ""western_europe"": 23}"	b9ee533b90494921b66ce18085012a28da81e77dc0d13e0a37f562ad43cb1300	ok
140	DTF sweden 2009 (2nd experiment)	Flowering time in simulated seasons	10.21958/phenotype:140	day	480	480	480	480	480	213	213	0	1	"{""admixed"": 35, ""asia"": 7, ""central_europe"": 34, ""germany"": 42, ""north_sweden"": 12, ""relict"": 1, ""south_sweden"": 47, ""spain"": 9, ""western_europe"": 26}"	7805ba7fa977cbbc178ced5ecb51ef70a9383853cd43ed48ac7c921767eb7388	ok
141	DTF sweden 2008 (2nd experiment)	Flowering time in simulated seasons	10.21958/phenotype:141	day	360	360	360	360	360	154	154	0	1	"{""admixed"": 26, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 37, ""spain"": 4, ""western_europe"": 20}"	4d8d96f1d6fb54977b46c86ac5e90ea980870e4b446aa6aab8a938d753ae6425	ok
142	Mature cell length	Mejion	10.21958/phenotype:142	micrometer	201	201	201	201	201	104	104	0	1	"{""admixed"": 22, ""asia"": 5, ""central_europe"": 18, ""germany"": 30, ""north_sweden"": 1, ""relict"": 1, ""south_sweden"": 2, ""spain"": 4, ""western_europe"": 21}"	e7137353092dd97a1299c64adbc83f13aa11ba33914aa377c8eb3e17aae94fc3	ok
143	Meristem zone length	Mejion	10.21958/phenotype:143	micrometer	201	201	201	201	201	104	104	0	1	"{""admixed"": 22, ""asia"": 5, ""central_europe"": 18, ""germany"": 30, ""north_sweden"": 1, ""relict"": 1, ""south_sweden"": 2, ""spain"": 4, ""western_europe"": 21}"	b6e299204a53319a75457cc21fd6f6c8cf82eac4b1ada8a8816a2c574bc0e951	ok
144	M216T665	DAAR	10.21958/phenotype:144	concentration unit	418	418	418	417	417	207	207	1	2	"{""admixed"": 31, ""asia"": 14, ""central_europe"": 39, ""germany"": 32, ""italy_balkan_caucasus"": 18, ""north_sweden"": 7, ""relict"": 4, ""south_sweden"": 32, ""spain"": 8, ""western_europe"": 22}"	ae1a03b4ff9762b3d91ec52e8d3d95a5d8937995e3b80ba38445e86b653ec04f	ok
145	M130T666	DAAR	10.21958/phenotype:145	concentration unit	418	418	418	417	417	207	207	1	2	"{""admixed"": 31, ""asia"": 14, ""central_europe"": 39, ""germany"": 32, ""italy_balkan_caucasus"": 18, ""north_sweden"": 7, ""relict"": 4, ""south_sweden"": 32, ""spain"": 8, ""western_europe"": 22}"	03702646b50ba31227417c2858e4aa64288e855a3cdf1c6db3b76d12e4df4b01	ok
146	M172T666	DAAR	10.21958/phenotype:146	concentration unit	418	418	418	417	417	207	207	1	2	"{""admixed"": 31, ""asia"": 14, ""central_europe"": 39, ""germany"": 32, ""italy_balkan_caucasus"": 18, ""north_sweden"": 7, ""relict"": 4, ""south_sweden"": 32, ""spain"": 8, ""western_europe"": 22}"	f12a1c48045d0c945b816185fd100a47344ec8fec94bc268c5bf5f66e5d073bc	ok
261	FT10	1001genomes flowering time phenotypes	10.21958/phenotype:261	day	1163	1163	1163	1162	1162	1003	1003	1	2	"{""admixed"": 136, ""asia"": 69, ""central_europe"": 177, ""germany"": 90, ""italy_balkan_caucasus"": 92, ""north_sweden"": 61, ""relict"": 25, ""south_sweden"": 139, ""spain"": 110, ""western_europe"": 104}"	f9c1b9621cfb9b5267c3c65575a390ce55311a736940957e52ff0cd15869a47b	ok
262	FT16	1001genomes flowering time phenotypes	10.21958/phenotype:262	day	1123	1123	1123	1122	1122	970	970	1	2	"{""admixed"": 130, ""asia"": 69, ""central_europe"": 177, ""germany"": 88, ""italy_balkan_caucasus"": 92, ""north_sweden"": 48, ""relict"": 24, ""south_sweden"": 134, ""spain"": 105, ""western_europe"": 103}"	9ae5346296dd080e2c5ddcb994b1a7393f72eb171de38659659f51d41a819654	ok
269	Li7	Ion Concentration	10.21958/phenotype:269	concentration unit	2702	2702	2702	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	b297d549098e3d5f337156345c13782f0667464dc1b143be622a88cf5078907f	ok
270	B11	Ion Concentration	10.21958/phenotype:270	concentration unit	2701	2701	2701	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	3bde0713a35c421e6bd5a855af112c20ccd6034379223409ddc5d7cf18c833cc	ok
271	Na23	Ion Concentration	10.21958/phenotype:271	concentration unit	2697	2697	2697	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	f09f538c9499fc527dc460ea0b1ee5abaeb98fde45defa8327230b2eefab2efa	ok
272	Mg25	Ion Concentration	10.21958/phenotype:272	concentration unit	2702	2702	2702	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	0e4c67703bb67929b35e5518760b22738c4f8d193fdca61a89ecb10659714992	ok
273	P31	Ion Concentration	10.21958/phenotype:273	concentration unit	2702	2702	2702	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	87058ba0dae692d014e2ddad176d0f0f10d726463c4f6c152ede89902b589b51	ok
274	S34	Ion Concentration	10.21958/phenotype:274	concentration unit	2699	2699	2699	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	562c87645200283fb5fe6401d93c3bef23d5cde882914e42969369052beb06cc	ok
275	K39	Ion Concentration	10.21958/phenotype:275	concentration unit	2702	2702	2702	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	584a737e78a3d5d5f69b2a1577381ca89e137c5a0f1ba5d6ff481b298aa48c6d	ok
276	Ca43	Ion Concentration	10.21958/phenotype:276	concentration unit	2702	2702	2702	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	d38d695759d6793ddde5026ca8ff1bc759dcfb605b97ae978ed0487180822f64	ok
277	Mn55	Ion Concentration	10.21958/phenotype:277	concentration unit	2701	2701	2701	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	7e27148489a2b9e5ff79d346cc32612eed42084c074421b0e3077bd13d87eba7	ok
278	Fe57	Ion Concentration	10.21958/phenotype:278	concentration unit	2702	2702	2702	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	e989544f72fa7b070b19d94b2086c7c2bfe60e30a00f0a6d67c859d5e2f9bad4	ok
279	Co59	Ion Concentration	10.21958/phenotype:279	concentration unit	2698	2698	2698	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	fc3b83bed51375f29d80c92a24d46ba2a0c12df96f939d71aa4f25f472cdaa53	ok
280	Ni60	Ion Concentration	10.21958/phenotype:280	concentration unit	2696	2696	2696	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	380afd9e1f0c993e6d5746e43fa07315b99b2213ba7dd3f958427155d3475bec	ok
281	Cu65	Ion Concentration	10.21958/phenotype:281	concentration unit	2700	2700	2700	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	0573b15303b0549589eaed0d17c1cc00dbd9f915c5e44d70f3afd35b354ef567	ok
282	Zn66	Ion Concentration	10.21958/phenotype:282	concentration unit	2695	2695	2695	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	2d1d87eb99c29afc644ea65f779e55b18fde4df696fbb93a90720d4c240fd03b	ok
283	As75	Ion Concentration	10.21958/phenotype:283	concentration unit	2686	2686	2686	352	352	150	150	351	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	0b86edea5da6010c558c30df089f3559a14fafe5ed1360d3e9a9d40565f4dfef	ok
284	Se82	Ion Concentration	10.21958/phenotype:284	concentration unit	2701	2701	2701	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	8dd207deb224242ee9ed9ee904bdbfd07ef9c4a05ae439a24c7f044ad3dfab4f	ok
285	Rb85	Ion Concentration	10.21958/phenotype:285	concentration unit	2702	2702	2702	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	827b5581b3319e2eb178c3238732572985ed12774aba89ec2684b87d94623f6b	ok
286	Mo98	Ion Concentration	10.21958/phenotype:286	concentration unit	2702	2702	2702	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	cbdfbe5386b4c7c554aa3f5ccd316f345cfd5287e9f84918fa98366920f8439b	ok
287	Cd111	Ion Concentration	10.21958/phenotype:287	concentration unit	2701	2701	2701	352	352	150	150	352	159	"{""admixed"": 25, ""asia"": 2, ""central_europe"": 24, ""germany"": 33, ""north_sweden"": 7, ""relict"": 1, ""south_sweden"": 35, ""spain"": 4, ""western_europe"": 19}"	9df73e59805d36f3dfe9026856e36842d7e1c19e775b3f7a96f86720f3f1cb7f	ok
289	Root length (Day 1)	Satbhai et. al. Nature Communications 2017	10.21958/phenotype:289	millimeter	133	133	133	133	133	106	106	0	1	"{""admixed"": 6, ""central_europe"": 2, ""germany"": 2, ""north_sweden"": 18, ""south_sweden"": 78}"	ebdedcd406e8153f922ed0d1098f3fe72b8f0fda6e6113b353a355916e46faa2	ok
290	Root length (Day 2)	Satbhai et. al. Nature Communications 2017	10.21958/phenotype:290	millimeter	134	134	134	134	134	107	107	0	1	"{""admixed"": 6, ""central_europe"": 2, ""germany"": 2, ""north_sweden"": 19, ""south_sweden"": 78}"	a8535e889bcfd211d45cc8a57305627dcbd20756f8fa4032e1ecdc49fe666af9	ok
291	Root length (Day 3)	Satbhai et. al. Nature Communications 2017	10.21958/phenotype:291	millimeter	132	132	132	132	132	105	105	0	1	"{""admixed"": 6, ""central_europe"": 2, ""germany"": 2, ""north_sweden"": 19, ""south_sweden"": 76}"	bf0accfb761fb7ca25f9fde7c4474b23086a9848bee277d4377b8d3255c72d8a	ok
292	Root length (Day 4)	Satbhai et. al. Nature Communications 2017	10.21958/phenotype:292	millimeter	126	126	126	126	126	100	100	0	1	"{""admixed"": 5, ""central_europe"": 2, ""germany"": 2, ""north_sweden"": 17, ""south_sweden"": 74}"	d8763c99d4a32bb4dad0d3dd18d697ac2578b162bce8309e2f1ef04232576f72	ok
293	Root length (Day 5)	Satbhai et. al. Nature Communications 2017	10.21958/phenotype:293	millimeter	131	131	131	131	131	105	105	0	1	"{""admixed"": 6, ""central_europe"": 2, ""germany"": 2, ""north_sweden"": 19, ""south_sweden"": 76}"	9af10865aa923890070799cc5918581bcdb6e3881b09c2fe2e46b9e567023678	ok
294	GR21	Kerdaffrec et al. 2016	10.21958/phenotype:294	percent	161	161	161	161	161	157	157	0	1	"{""admixed"": 8, ""central_europe"": 2, ""germany"": 8, ""north_sweden"": 40, ""south_sweden"": 98, ""western_europe"": 1}"	84d04e2993fc9e813777ce8f5eaf0d3cf4914ee970d4a365bcf25130aee850e6	ok
315	GR21 warm	Kerdaffrec et al. 2017	10.21958/phenotype:315	percent	92	92	92	92	92	88	88	0	1	"{""admixed"": 5, ""central_europe"": 2, ""germany"": 8, ""north_sweden"": 18, ""south_sweden"": 54, ""western_europe"": 1}"	3b8d9ca395aea224b02a32f4f7f13534e14a30e05d62b12761d3b3d4d66ef526	ok
316	GR21 cold	Kerdaffrec et al. 2017	10.21958/phenotype:316	percent	92	92	92	92	92	88	88	0	1	"{""admixed"": 5, ""central_europe"": 2, ""germany"": 8, ""north_sweden"": 18, ""south_sweden"": 54, ""western_europe"": 1}"	311310208636dfeb11c714758abd92b91e33be8edb0482a57eaa84764ea716c5	ok
318	GR105 warm	Kerdaffrec et al. 2017	10.21958/phenotype:318	percent	92	92	92	92	92	88	88	0	1	"{""admixed"": 5, ""central_europe"": 2, ""germany"": 8, ""north_sweden"": 18, ""south_sweden"": 54, ""western_europe"": 1}"	73172c55c4f4316a989886e5e73c83f41b1d9d6a62cc7fd2bbe450acf31fc5b3	ok
320	GR63 warm	Kerdaffrec et al. 2017	10.21958/phenotype:320	percent	92	92	92	92	92	88	88	0	1	"{""admixed"": 5, ""central_europe"": 2, ""germany"": 8, ""north_sweden"": 18, ""south_sweden"": 54, ""western_europe"": 1}"	9f175b228f90a7bf641823fa469ee02d092192c16add39b3df3c7a6c4b9e7baf	ok
325	GR105 cold	Kerdaffrec et al. 2017	10.21958/phenotype:325	percent	92	92	92	92	92	88	88	0	1	"{""admixed"": 5, ""central_europe"": 2, ""germany"": 8, ""north_sweden"": 18, ""south_sweden"": 54, ""western_europe"": 1}"	ff2e43ff18be23a1468c2f486019e779d74b4249e791008cb8461b9c16377abc	ok
326	GR63 cold	Kerdaffrec et al. 2017	10.21958/phenotype:326	percent	92	92	92	92	92	88	88	0	1	"{""admixed"": 5, ""central_europe"": 2, ""germany"": 8, ""north_sweden"": 18, ""south_sweden"": 54, ""western_europe"": 1}"	6cb6d97478fdc3cc183ee5d3043655e1c163bdf55b60111fb71d71f4b3bd3178	ok
352	Mean(R) C	Control (C) treatment	10.21958/phenotype:352	unit	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 23, ""italy_balkan_caucasus"": 1, ""north_sweden"": 2, ""south_sweden"": 9, ""spain"": 1, ""western_europe"": 12}"	54b83f91b008bce0af84f852738f4dc0dad7a58dec3b5dbd592c4e1d2ed44e6e	ok
353	Mean(LRL) C	Control (C) treatment	10.21958/phenotype:353	millimeter	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 23, ""italy_balkan_caucasus"": 1, ""north_sweden"": 2, ""south_sweden"": 9, ""spain"": 1, ""western_europe"": 12}"	698ace4ce5ad925043a890d67035c305ee76ad170c165192701c22b2e5f5a73d	ok
354	Mean(LR.no) C	Control (C) treatment	10.21958/phenotype:354	count unit	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 23, ""italy_balkan_caucasus"": 1, ""north_sweden"": 2, ""south_sweden"": 9, ""spain"": 1, ""western_europe"": 12}"	18acc355a5fe5f6b5be2c2bdbe438f08f95e85cb294d8ca1d899ed22a78902f6	ok
355	Mean(P2) C	Control (C) treatment	10.21958/phenotype:355	millimeter	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 23, ""italy_balkan_caucasus"": 1, ""north_sweden"": 2, ""south_sweden"": 9, ""spain"": 1, ""western_europe"": 12}"	9d86d39a5f19dd44c8b6042f53697a3521cc24435df75cc70c446901b9c0ceed	ok
356	Mean(LRD P) C	Control (C) treatment	10.21958/phenotype:356	mass density unit	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 23, ""italy_balkan_caucasus"": 1, ""north_sweden"": 2, ""south_sweden"": 9, ""spain"": 1, ""western_europe"": 12}"	c2ab621467b0e024765ac2faa3b90e339170b54a8211966c9ea50b8b1197263f	ok
357	Mean(LRD R) C	Control (C) treatment	10.21958/phenotype:357	mass density unit	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 23, ""italy_balkan_caucasus"": 1, ""north_sweden"": 2, ""south_sweden"": 9, ""spain"": 1, ""western_europe"": 12}"	96884c2cf32c20fed1e383dc3a7207124f6f46b95258663bd7b12d4a86309671	ok
358	Mean(TLRL) C	Control (C) treatment	10.21958/phenotype:358	millimeter	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 23, ""italy_balkan_caucasus"": 1, ""north_sweden"": 2, ""south_sweden"": 9, ""spain"": 1, ""western_europe"": 12}"	cad8a63f53288e96f17cc829cb687a285d505f4b2eebd7bb27e543df9ac8d25f	ok
359	Mean(TRL) C	Control (C) treatment	10.21958/phenotype:359	millimeter	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 23, ""italy_balkan_caucasus"": 1, ""north_sweden"": 2, ""south_sweden"": 9, ""spain"": 1, ""western_europe"": 12}"	20444b99a130ac0f76a3195390ef4dd29f13f523100e6d8f8d72874fffb41f26	ok
360	Mean(LRR) C	Control (C) treatment	10.21958/phenotype:360	mass density unit	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 23, ""italy_balkan_caucasus"": 1, ""north_sweden"": 2, ""south_sweden"": 9, ""spain"": 1, ""western_europe"": 12}"	e52cbbe8789e518788dcf8e0cf82881bca5182116ac4dd443405ca31bf84e99f	ok
361	Mean(R) IAA	Auxin (IAA) treatment	10.21958/phenotype:361	unit	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 9, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	ff182dde88b5ca4d63ddefb8c79951dbc75303f7debe59d3d27e8c90757680ed	ok
362	Mean(LRL) IAA	Auxin (IAA) treatment	10.21958/phenotype:362	millimeter	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 9, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	c661c28408c531c15a613477db1a179b635d7fd2dbcd0eb30843c6ea1bcef32b	ok
363	Mean(LR.no) IAA	Auxin (IAA) treatment	10.21958/phenotype:363	count unit	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 9, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	7b6d683d6b72c8a9059b0b17f175982f9e077c0d39de8e39b37da035c9e5a1d5	ok
364	Mean(P2) IAA	Auxin (IAA) treatment	10.21958/phenotype:364	millimeter	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 9, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	56057688ee5e3329c51824b68db5ee2a800966414cf7927cbd21889084ce6652	ok
365	Mean(LRD P) IAA	Auxin (IAA) treatment	10.21958/phenotype:365	mass density unit	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 9, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	82a07396e7087bce03203c174f867130c8cfe5b3c0163ff1749995785d13314f	ok
366	Mean(LRD R) IAA	Auxin (IAA) treatment	10.21958/phenotype:366	mass density unit	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 9, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	1b26181dfd092f17adfa2a3b320212b7ba44f4fdc8cebeed85d312b0a6209427	ok
367	Mean(TLRL) IAA	Auxin (IAA) treatment	10.21958/phenotype:367	millimeter	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 9, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	02eaf81b231e7e7052d95f72460608cf841b58571f19aed2d8d95e7097f36cb8	ok
368	Mean(TRL) IAA	Auxin (IAA) treatment	10.21958/phenotype:368	millimeter	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 9, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	129764d50c70c28200995e2af03d55f6bd178fb055676be801fb1c5dc7e74ba0	ok
369	Mean(LRR) IAA	Auxin (IAA) treatment	10.21958/phenotype:369	mass density unit	190	190	190	190	190	81	81	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 9, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	5a9b2a0bfdc748477a494e20d7dd7060260204a566ecdfcd52c76660031744b3	ok
370	Mean(R) ABA	Abscisic acid (ABA) treatment	10.21958/phenotype:370	unit	191	191	191	191	191	82	82	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	1aab098faf5d95a61d3508a88c3899503d56f2da3b3886af18fce0c125d3eccb	ok
371	Mean(LRL) ABA	Abscisic acid (ABA) treatment	10.21958/phenotype:371	millimeter	191	191	191	191	191	82	82	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	549ed979782571b586ace35899636df4692abb7a3c8bf33f4e3cfc4ca15535bc	ok
372	Mean(LR.no) ABA	Abscisic acid (ABA) treatment	10.21958/phenotype:372	count unit	191	191	191	191	191	82	82	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	14c4111c4cd314fac4b547446c3734dbfa0327ab89f9eb4e2be7f96682e2ed1a	ok
373	Mean(P2) ABA	Abscisic acid (ABA) treatment	10.21958/phenotype:373	millimeter	191	191	191	191	191	82	82	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	8953d2e4e01076b3d2191617cc2cc290351e1fe29c62323b020b76acff94471e	ok
374	Mean(LRD P) ABA	Abscisic acid (ABA) treatment	10.21958/phenotype:374	mass density unit	191	191	191	191	191	82	82	0	1	"{""admixed"": 20, ""asia"": 3, ""central_europe"": 10, ""germany"": 22, ""italy_balkan_caucasus"": 1, ""north_sweden"": 3, ""south_sweden"": 10, ""spain"": 1, ""western_europe"": 12}"	3c4526fa7e1e2e580f7d1fdbf0befa57b3d535f8c49a4b1c1201e39b7e56bb81	ok
