trait_id	trait_name	protocol	level	held_out	train_n	n_callrate95	n_MAF05_nonmonomorphic	n_COMMON	COMMON_10K_feasible	COMMON_50K_feasible	COMMON_250K_feasible	COMMON_1M_feasible
748	stomata density	blocked	outer	3	264	4572220	1742177	559386	True	True	True	False
748	stomata density	blocked	inner	outer3_inner0	197	4428779	1744099	539588	True	True	True	False
748	stomata density	blocked	inner	outer3_inner1	198	4373220	1747388	532001	True	True	True	False
748	stomata density	blocked	inner	outer3_inner2	198	4386413	1739518	523992	True	True	True	False
748	stomata density	blocked	inner	outer3_inner3	199	4423682	1752865	542157	True	True	True	False
748	stomata density	blocked	outer	4	265	4687789	1746620	576710	True	True	True	False
748	stomata density	blocked	inner	outer4_inner0	199	4450726	1749496	554447	True	True	True	False
748	stomata density	blocked	inner	outer4_inner1	198	4584225	1756504	566919	True	True	True	False
748	stomata density	blocked	inner	outer4_inner2	199	4630809	1756907	564321	True	True	True	False
748	stomata density	blocked	inner	outer4_inner3	199	4414819	1750436	533729	True	True	True	False
748	stomata density	iid	outer	0	264	4613127	1749240	574964	True	True	True	False
748	stomata density	iid	inner	outer0_inner0	199	4285710	1750736	525773	True	True	True	False
748	stomata density	iid	inner	outer0_inner1	197	4345820	1749697	535747	True	True	True	False
748	stomata density	iid	inner	outer0_inner2	198	4683093	1756622	586913	True	True	True	False
748	stomata density	iid	inner	outer0_inner3	198	4500734	1757671	559911	True	True	True	False
748	stomata density	iid	outer	1	264	4532916	1742202	551415	True	True	True	False
748	stomata density	iid	inner	outer1_inner0	198	4236147	1740907	507779	True	True	True	False
748	stomata density	iid	inner	outer1_inner1	198	4546996	1747122	553027	True	True	True	False
748	stomata density	iid	inner	outer1_inner2	198	4486838	1747513	549703	True	True	True	False
748	stomata density	iid	inner	outer1_inner3	198	4203515	1746885	497909	True	True	True	False
748	stomata density	iid	outer	2	264	4779802	1746863	596870	True	True	True	False
748	stomata density	iid	inner	outer2_inner0	198	4665044	1756720	594509	True	True	True	False
748	stomata density	iid	inner	outer2_inner1	198	4410712	1746810	540487	True	True	True	False
748	stomata density	iid	inner	outer2_inner2	198	4646176	1743610	565435	True	True	True	False
748	stomata density	iid	inner	outer2_inner3	198	4732398	1759722	592714	True	True	True	False
748	stomata density	iid	outer	3	264	4647657	1743799	573380	True	True	True	False
748	stomata density	iid	inner	outer3_inner0	198	4585252	1751787	561812	True	True	True	False
748	stomata density	iid	inner	outer3_inner1	198	4526692	1746548	556289	True	True	True	False
748	stomata density	iid	inner	outer3_inner2	198	4417399	1745081	536872	True	True	True	False
748	stomata density	iid	inner	outer3_inner3	198	4388346	1747125	543058	True	True	True	False
748	stomata density	iid	outer	4	264	4465771	1744539	548413	True	True	True	False
748	stomata density	iid	inner	outer4_inner0	198	4131116	1744181	501917	True	True	True	False
748	stomata density	iid	inner	outer4_inner1	197	4180010	1743253	503373	True	True	True	False
748	stomata density	iid	inner	outer4_inner2	198	4331643	1746420	523624	True	True	True	False
748	stomata density	iid	inner	outer4_inner3	199	4555574	1758699	568497	True	True	True	False
704	RL	blocked	outer	0	680	3735213	1696894	397866	True	True	True	False
704	RL	blocked	inner	outer0_inner0	510	3768128	1698185	399987	True	True	True	False
704	RL	blocked	inner	outer0_inner1	510	3820892	1700017	404054	True	True	True	False
704	RL	blocked	inner	outer0_inner2	510	3603154	1697171	383097	True	True	True	False
704	RL	blocked	inner	outer0_inner3	510	3567814	1700678	381954	True	True	True	False
704	RL	blocked	outer	1	680	3802086	1689319	398439	True	True	True	False
704	RL	blocked	inner	outer1_inner0	510	3676726	1689831	374761	True	True	True	False
704	RL	blocked	inner	outer1_inner1	510	3857175	1685380	404882	True	True	True	False
704	RL	blocked	inner	outer1_inner2	510	3621768	1689267	373511	True	True	True	False
704	RL	blocked	inner	outer1_inner3	510	3866896	1701059	417185	True	True	True	False
704	RL	blocked	outer	2	680	3897589	1691206	415792	True	True	True	False
704	RL	blocked	inner	outer2_inner0	510	3885546	1694255	412395	True	True	True	False
704	RL	blocked	inner	outer2_inner1	510	3761428	1694234	397040	True	True	True	False
704	RL	blocked	inner	outer2_inner2	510	3957253	1690212	422257	True	True	True	False
704	RL	blocked	inner	outer2_inner3	510	3805132	1696694	408881	True	True	True	False
704	RL	blocked	outer	3	680	3740604	1695443	396580	True	True	True	False
704	RL	blocked	inner	outer3_inner0	510	3648908	1700661	388282	True	True	True	False
704	RL	blocked	inner	outer3_inner1	510	3646647	1696572	380327	True	True	True	False
704	RL	blocked	inner	outer3_inner2	510	3813344	1697630	409005	True	True	True	False
704	RL	blocked	inner	outer3_inner3	510	3660439	1695069	384366	True	True	True	False
704	RL	blocked	outer	4	680	3601640	1688600	376710	True	True	True	False
704	RL	blocked	inner	outer4_inner0	510	3546985	1688184	368297	True	True	True	False
704	RL	blocked	inner	outer4_inner1	510	3645912	1692872	378607	True	True	True	False
704	RL	blocked	inner	outer4_inner2	510	3654922	1692600	390847	True	True	True	False
704	RL	blocked	inner	outer4_inner3	510	3374566	1690683	347105	True	True	True	False
704	RL	iid	outer	0	680	3813969	1693255	408611	True	True	True	False
704	RL	iid	inner	outer0_inner0	510	3735092	1696261	396356	True	True	True	False
704	RL	iid	inner	outer0_inner1	510	3677549	1693928	389694	True	True	True	False
704	RL	iid	inner	outer0_inner2	510	3827374	1694908	414303	True	True	True	False
704	RL	iid	inner	outer0_inner3	510	3829749	1697974	410674	True	True	True	False
704	RL	iid	outer	1	680	3679543	1692197	387231	True	True	True	False
704	RL	iid	inner	outer1_inner0	510	3670831	1696189	385757	True	True	True	False
704	RL	iid	inner	outer1_inner1	510	3755749	1695478	397958	True	True	True	False
704	RL	iid	inner	outer1_inner2	510	3633172	1694110	375890	True	True	True	False
704	RL	iid	inner	outer1_inner3	510	3471921	1694757	364896	True	True	True	False
704	RL	iid	outer	2	680	3763960	1691812	400398	True	True	True	False
704	RL	iid	inner	outer2_inner0	510	3653313	1695934	392330	True	True	True	False
704	RL	iid	inner	outer2_inner1	510	3853636	1696574	409002	True	True	True	False
704	RL	iid	inner	outer2_inner2	510	3601025	1692107	381468	True	True	True	False
704	RL	iid	inner	outer2_inner3	510	3764537	1691232	394944	True	True	True	False
704	RL	iid	outer	3	680	3672782	1689308	380741	True	True	True	False
704	RL	iid	inner	outer3_inner0	510	3583856	1691534	369676	True	True	True	False
704	RL	iid	inner	outer3_inner1	510	3645933	1689550	371799	True	True	True	False
704	RL	iid	inner	outer3_inner2	510	3730479	1695482	393075	True	True	True	False
704	RL	iid	inner	outer3_inner3	510	3537783	1689586	365027	True	True	True	False
704	RL	iid	outer	4	680	3848141	1694530	408751	True	True	True	False
704	RL	iid	inner	outer4_inner0	510	3911173	1698254	419084	True	True	True	False
704	RL	iid	inner	outer4_inner1	510	3653860	1694668	389032	True	True	True	False
704	RL	iid	inner	outer4_inner2	510	4042185	1700400	439865	True	True	True	False
704	RL	iid	inner	outer4_inner3	510	3611293	1693783	367443	True	True	True	False
705	CL	blocked	outer	0	723	3601567	1701645	379493	True	True	True	False
705	CL	blocked	inner	outer0_inner0	541	3718187	1701597	396653	True	True	True	False
705	CL	blocked	inner	outer0_inner1	543	3535882	1702273	370178	True	True	True	False
705	CL	blocked	inner	outer0_inner2	543	3578069	1700229	375745	True	True	True	False
705	CL	blocked	inner	outer0_inner3	542	3628620	1708540	388468	True	True	True	False
705	CL	blocked	outer	1	722	3868365	1707156	419050	True	True	True	False
705	CL	blocked	inner	outer1_inner0	541	3916291	1708763	430354	True	True	True	False
705	CL	blocked	inner	outer1_inner1	542	3920149	1713629	433129	True	True	True	False
705	CL	blocked	inner	outer1_inner2	542	3742659	1708497	397105	True	True	True	False
705	CL	blocked	inner	outer1_inner3	541	3942585	1705889	428121	True	True	True	False
705	CL	blocked	outer	2	723	3746370	1705966	410137	True	True	True	False
705	CL	blocked	inner	outer2_inner0	542	3691258	1709077	406396	True	True	True	False
705	CL	blocked	inner	outer2_inner1	543	3722874	1705166	405762	True	True	True	False
705	CL	blocked	inner	outer2_inner2	542	3842663	1707422	429882	True	True	True	False
705	CL	blocked	inner	outer2_inner3	542	3776638	1708675	410224	True	True	True	False
705	CL	blocked	outer	3	724	3743086	1699097	404283	True	True	True	False
705	CL	blocked	inner	outer3_inner0	543	3904362	1707983	430804	True	True	True	False
705	CL	blocked	inner	outer3_inner1	543	3724536	1701805	403815	True	True	True	False
